art_style,painting,emotion,utterance,repetition
Abstract_Expressionism,wu-guanzhong_fishes-1986,something else,looks like an ice burg surrounded by toxic industrial sludge,5
Art_Nouveau_Modern,koloman-moser_sketch-of-emblem-to-ver-sacrum-1898,awe,The black and white let the face stand out.,6
Naive_Art_Primitivism,tarsila-do-amaral_the-lake-1928,awe,this reminds me of an old video game level,5
Baroque,jacob-jordaens_saint-christopher-carrying-the-child-jesus-1630,something else,this person looks like they have a lot on their shoulder.,5
Art_Nouveau_Modern,leon-bakst_the-poet-zinaida-gippius-1906,amusement,"It's another shade of male beauty: the dandy, the fop. He's probably got either a dozen girlfriends, or one really hot boyfriend.",6
Romanticism,gustave-dore_back-to-the-thicket-slunk-the-guilty-serpent,something else,The snake slithering toward the naked woman gives a nervous feeling,6
Art_Nouveau_Modern,nicholas-roerich_mikula-selyaninovich-1909,sadness,"A MAN WALKING THRU THE MOUNTAINS WITH A HORSE ON HIS SIDE, THE HILLS LOOKS BLUE AS THE SKY.",5
Impressionism,camille-pissarro_the-louvre-morning-sun-quai-malaquais-1903,contentment,The trees are sharp like a stick on the road,6
Cubism,willi-baumeister_hockey-1924,something else,"This looks like a mannequin in a store room, which makes me feel nothing.",6
Cubism,salvador-dali_still-life-by-moonlight,something else,"i feel confused, i do not know what is supposed to be the point of the painting",5
Symbolism,nicholas-roerich_boundary-of-kingdoms-1916,amusement,The four wise men forgot to ask for directions,6
Realism,henri-fantin-latour_narcissus-and-tulips-1862,excitement,I can see the definition in the shape of the vase from the blueish hue shadowing and can practically smell the freshness of the beautiful flowers carefully and strategically balanced in the vase it makes me feel happy,5
Art_Nouveau_Modern,kay-nielsen_east-of-the-sun-and-west-of-the-moon-1914-1,awe,I love this piece. The stars emanating from her face and chest make me think of her dreams from her mind and heart traveling to the unknown to come true.,6
Naive_Art_Primitivism,pablo-picasso_female-nude-study-1907,awe,The intensity of the eyes scare me a little bit,10
Post_Impressionism,horace-pippin_the-warped-table-still-life-1940,amusement,A child like painting of fruit all nested together on the wood table is very tasty to the eyes.,6
Romanticism,gustave-dore_dante-and-pope-adrian-v,something else,"This is both creepy and weirdly erotic, I can't tell if its an allegory of a ruler stepping all over their people.",5
Romanticism,gustave-dore_the-apostles-preaching-the-gospel,awe,The grays and blacks and swirls all match up nicely to make the sky and the people very precise.,5
Romanticism,george-stubbs_harvest,contentment,The people are dressed nice and I like the smoothness of the painting.,5
Symbolism,mikalojus-ciurlionis_cliff-at-the-seaside-1905,awe,BLUE WATER AND ROCKS TAKES ME BACK TO OUTDOORS VACATION.,5
Baroque,peter-paul-rubens_alexander-and-roxana,awe,the baby angles along the mother is nurturing,5
Expressionism,helene-schjerfbeck_portrait-of-a-girl-in-blue-and-brown-inez-1944,fear,"Looks like an injury area or exposed bone on forehead and abrasions on face and forehead. Left arm seems to be visible, but right arm possibly missing. Two different hairstyles and colors on each side along with what looks like a tuft of displaced fur. Hair could even be missing on one side. Eyes closed. This person appears to have been mutilated.",6
Abstract_Expressionism,ronald-davis_window-1969,something else,I'm confused by the item. It looks abstract but I don't know it's shape.,6
Expressionism,ion-nicodim_untitled,something else,I am confused by the scene. I love the bright red background.,5
Symbolism,nicholas-roerich_himalayas-11,sadness,The shades of blue on the mountains make them seem cold and desolate.,5
Expressionism,henri-matisse_harmony-in-red-1908,awe,The table was adorned with yellow lemons and other colored fruits and vegtables.,6
Baroque,guido-reni_lucretia-1626-1,contentment,"Great color and detail in the cloth, but she sure does need some sun",5
Art_Nouveau_Modern,ivan-bilibin_prince-ivan-and-the-firebird-illustration-for-the-russian-fairy-story-the-firebird-1901,awe,"This drawing is pretty unique, and reminds me of history's drawings for churches",5
Baroque,jusepe-de-ribera_the-assumption-of-mary-magdalene-1636,awe,"Interesting take on a cherub scene, one is peeking up her dress",6
Realism,efim-volkov_the-sea,contentment,The way the waves are breaking onto shore at an angle make them look like they are being pushed by the wind.,6
Romanticism,gustave-dore_samson-slays-a-lion,awe,"That is obviously a very powerful beast, and Samson wrestling it is no easy feat.",5
Impressionism,camille-pissarro_vegetable-garden-in-eragny-overcast-sky-morning-1901,something else,I feel peaceful when I look at all the greenery in this scene,6
Realism,eugene-boudin_seascape-with-large-sky-1860,contentment,the range in blues for the sky and sea go beautifully with the fluffy whites used for the clouds,6
Art_Nouveau_Modern,nicholas-roerich_archangel-with-birds-1905,amusement,"This painting looks funny, with the eye watching the religious figures.",6
Impressionism,childe-hassam_old-dutch-building-fishkill-new-york,contentment,The gorgeous architecture is nicely accented by the trees around it.,6
Realism,gustave-courbet_self-portrait-with-striped-collar-1854,contentment,This man looks gentle in his pose staring away from the camera.,6
Art_Nouveau_Modern,koloman-moser_design-for-the-bill-of-50-crowns-1911,something else,Nice design - I think it would have more context for me if I spoke the language,6
Impressionism,childe-hassam_view-of-florence-from-san-miniato,contentment,the women in the white dress is looking over the town on a beautiful day.,12
Baroque,jacob-jordaens_child-s-head-1620,contentment,"The look on the girl's face is interesting, she doesn't look happy but she doesn't look bored or sad.",5
Baroque,peter-paul-rubens_carrying-the-cross,disgust,The number of figures in this image is too busy. It makes me feel disgusted.,5
Symbolism,mikhail-nesterov_st-mark-the-apostle-1909,something else,"I don't know why, but this to me looks like a dark skinned man dressed in old robes, but holding a tablet on his lap.",6
Post_Impressionism,ilya-mashkov_still-life-with-melons-and-pumpkins-1916,contentment,I like how the colors come together and are very vibrant.,6
Color_Field_Painting,sam-francis_big-red-1953,disgust,Kind of looks like blood under a microscope.,10
Post_Impressionism,maurice-prendergast_beach-scene-no-4,contentment,This looks like a peaceful picnic where everyone is wearing nice colors before the water.,5
Realism,frits-thaulow_winter-on-the-isle-of-stord,something else,This makes me feel serene.  It looks very quiet and peaceful and very cold,7
Realism,guy-rose_still-life-jug-with-fruit-1888,awe,this reminds me of old video game artwork,6
Abstract_Expressionism,sam-francis_indigo-wood-1982,disgust,im not saying that this painting is awful but if im looking at all the highlighted blacks correctly it looks like a pile of coal.,6
Symbolism,nicholas-roerich_himalayas-61,excitement,The purple and blues used on the mountains look refreshing.,6
Romanticism,gustave-dore_idylls-of-the-king-7,sadness,"The darkness of this photo, as well as what appears to be a boat sinking and people struggling to survive, leads me to feel sadness when I look at it.",6
Baroque,josefa-de-obidos_abisag-1650,contentment,"I like the use of colors in this painting. I notice the red,black, and blue.They remind of the renaissance period when I look at this.",6
Art_Nouveau_Modern,nicholas-roerich_kostroma-romanov-boyars-tower-1903,awe,These steps look like I could walk into the painting and right up them!,5
Abstract_Expressionism,sam-gilliam_remembering-girls-ajar-2009,awe,I feel awe at the complexity of how much is going on in this abstract painting. The layering of boxes on top of the huge range of color is particularly impressive as it actually looks like there is an object on top of the painting.,5
Realism,henri-fantin-latour_bouquet-of-diverse-flowers-1881,contentment,"Not much of a flower person, but this arrangement is fairly nice.",5
Art_Nouveau_Modern,nicholas-roerich_king-s-room-1913,awe,"Very bright and colorful, a cartoonish take on a medieval scene",5
Impressionism,childe-hassam_june,something else,I imagine this might be what life would have been like had mankind remained in the Garden of Eden,6
Art_Nouveau_Modern,nicholas-roerich_lake-village-1915-1,contentment,I would love to live in a little neighborhood like this but why is it lacking color?,6
Symbolism,nicholas-roerich_himalayas-1947-4,awe,I like the way the painting captures the different stages of shadow of the mountains,48
Impressionism,camille-pissarro_sunset-with-fog-eragny-1891,fear,The sky is an orange color which looks like hell,6
Expressionism,george-bouzianis_female-dancers-1936,something else,It's Pleasant in a bizarre faced kind of way,5
Baroque,jacob-jordaens_the-rest-of-diana,disgust,"This is so creepy. The fat guy, the dead animal, the baby, the people lying around. Yuck.",5
Romanticism,gustave-dore_adam-and-eve,awe,It looks as if the man is watching over his female love. Very nice picture.,6
Color_Field_Painting,william-scott_dark-brown-orange-and-white-1963,disgust,The browns are not very pleasant and do not make me want to keep looking.,11
Expressionism,gulacsy-lajos_siege-of-a-castle-1910,awe,love the colors the red makes it beautiful and stand out,11
Post_Impressionism,jacques-villon_the-negro-1899,fear,The look on the woman's face is unsettling.,11
Abstract_Expressionism,sam-francis_taches-untitled-1972,amusement,I thoroughly enjoy the use of colors on top of a plain white background. The mixture of bush strokes with splatter adds character to it.,5
Realism,frederic-remington_the-song-of-hiawatha-illustration,contentment,I went kayaking only once and I absolutely loved it. I'm afraid of boats but I love kayaking.,6
Expressionism,jan-sluyters_reclining-nude-with-black-stockings-greet,awe,she has no shame in showing off her womanly body.,6
Baroque,jacob-jordaens_the-king-drinks-1640,amusement,Ever have that one relative that gets too toasted at family gatherings and wants to make a toast? Seen that quite a few times with my family.,6
Romanticism,gustave-dore_the-little-thumb,fear,"Creepy AF, and there goes my morning. Thanks.",6
Expressionism,henri-matisse_corner-of-the-artist-s-studio-1912,something else,"Very critical with how the floor and the vase almost blend together, i would like to see the floor a different colour for the painting to be more effective",6
Symbolism,nicholas-roerich_dorje-the-daring-one-1925,awe,"The colors are vivid, the pictures seems to depict a story that is very inspired.",6
Symbolism,martiros-saryan_landscape-shirak-1962,excitement,love mountain landscapes and the bright colors make me think a bright future is in store,5
Post_Impressionism,jan-sluyters_the-white-tree,contentment,"The forest scene is very serene, the green colors are peaceful.",6
Post_Impressionism,maurice-denis_games-in-the-sand-also-known-as-beach-with-fighters,contentment,"Just another sunny day at the beach, with a bunch of people soaking up the sun.",5
Abstract_Expressionism,theodoros-stamos_edge-of-burning-brush-1986,disgust,The two think red lines look like rivers of blood draining into a lake or ocean of blood off a brown land which is disgusting,5
Art_Nouveau_Modern,jacek-malczewski_self-portrait-in-an-armour,disgust,"Color is off - pink water? The man looks pious and arrogant, looking down his nose.",6
Symbolism,mikalojus-ciurlionis_creation-of-the-world-xii-1906,awe,The long tentacle in the middle looks like it belongs to a sea monster in the deep.,6
Post_Impressionism,maurice-prendergast_notre-dame,contentment,This looks like a nice cool day with lots of clouds in the sky and people enjoying the view from the bridge.,5
Abstract_Expressionism,wu-guanzhong_alienation-1992,disgust,It reminds me of layered subway graffiti. It has become illegible at this point and just looks bad.,5
Post_Impressionism,henri-matisse_woman-with-violin-1923,sadness,This painting of a gurl wearing a striped shurt guves the feeling she is young. She is unhappy at practice the violin. The way the painting shows shadow from the table guves the feeling she is day dreaming and sadness for being there,6
Art_Nouveau_Modern,koloman-moser_exlibris-for-otto-zuckerkandl-1906,fear,That woman is too calm to be playing with a snake so it seems witchy.,5
Abstract_Expressionism,richard-pousette-dart_symphony-no-1-the-transcendental-1942,fear,It is very busy and has a lot of sharp shapes that remind me of weapons. It sort of looks like a war of some sort.,5
Realism,gustave-courbet_cliffs-near-ornans-1865,sadness,The gray clouds against the landscape make me feel sad.,6
Realism,henri-fantin-latour_flowers-in-a-clay-pot-1883,contentment,"The bright flowers stand out against he dark, brown background.",6
Post_Impressionism,maurice-utrillo_lapin-agile-2,contentment,This looks like a peaceful village and I like the colors in the bottom right,5
Realism,eugene-boudin_fine-weather-on-the-estuary,sadness,This is very dull and the colors are very muddy.,6
Art_Nouveau_Modern,koloman-moser_design-for-the-anniversary-stamp-austrian-with-empress-maria-theresa-1908,contentment,"A very nice portrait of a historical monarch on what looks like a postage stamp - it makes me happy to see different countries celebrate their history.  The orange overtone works very well will this portrait, and is quite pleasing to the eye.",5
Post_Impressionism,maurice-de-vlaminck_view-of-a-village-with-red-roofs,contentment,i really like the movement of this portrait like it's windy,5
Post_Impressionism,maurice-de-vlaminck_snowstorm,fear,The lines on the ground look like snow and the trees make it look like a bad storm is about to come through.,6
Impressionism,childe-hassam_place-centrale-and-fort-cabanas-1895,awe,"The layers of the painting evoke a feeling of awe, as I can truly feel the natural beauty the artist was conveying.",5
Impressionism,childe-hassam_white-church-at-newport-aka-church-in-a-new-england-village,contentment,The sight of church steeples always makes me feel a calmness inside.,6
Rococo,william-hogarth_inigo-jones,awe,"Beautiful detail of the man's face, complexion and colour.",6
Realism,gustav-klimt_portrait-of-a-girl-head-slightly-turned-left,sadness,"I'm concerned with the girl's lack of eye contact, perhaps she doesn't want to be painted or share information on something private.",5
Baroque,gian-lorenzo-bernini_mathilde-of-tuscany-sun(3),something else,It looks boring . The metal is bleak and figure common.,5
Impressionism,childe-hassam_feeding-pigeons-in-the-piazza,amusement,I imagine these two women are best friends and they are busy gossiping.,6
Baroque,johannes-vermeer_woman-reading-a-letter-woman-in-blue-reading-a-letter,awe,"this picture makes me feel quiet and contemplative - is the woman pregnant, did she get a letter?  is she holding a photo?  what is going through her mind?  the light colors and the blue make me feel calm and peaceful",6
Cubism,rufino-tamayo_the-troubadour-1945,amusement,It looks a bit like George Bush playing the guitar.,5
Realism,gustave-courbet_the-man-with-the-leather-belt-a-portrait-of-the-artist,awe,I think the level of detail in the hands and face of the man in the painting is very impressive and it almost looks like a photo.,5
Impressionism,camille-pissarro_the-harvest-at-montfoucault-1876,something else,I don't really find the picture to be anything original or instill any emotion,5
Impressionism,childe-hassam_street-scene-christmas-morning,contentment,I feel content as I'm more partial towards the winter which this appears to be set in along with the feminine presence. It gives off a very serene feeling both in the colors and in terms of what it is.,6
Baroque,matthias-stom_st-jerome(1),sadness,"the old man is praying while clutching his chest, looking at jesus on the cross.",5
Post_Impressionism,maurice-utrillo_church-sacre-couer,something else,I get neutral feelings as I look at this scene of buildings,5
Realism,gustave-courbet_chateau-de-chillon-1873,awe,The towering castle near the dark forest is illuminated by moonlight,5
Realism,henri-fantin-latour_autumn-bouquet-1862,contentment,The bright red and yellow flowers pop out from the other softer flowers. It looks cheerful.,5
Realism,henri-fantin-latour_flowers-dahlias-and-gladiolas-1879,contentment,Beautiful large flowers grace the dark room,6
Impressionism,childe-hassam_shoveling-snow-new-england,amusement,Those two people will never be able to shovel the endless amount of snow in this picture.,5
Cubism,rufino-tamayo_friend-of-the-birds-1944,disgust,This painting makes me uneasy because of the dark colors and the frightening monkey sitting near the fish,6
Abstract_Expressionism,wolfgang-paalen_eroun-1944,fear,The metal texture is stark. The face in it is scary.,5
Expressionism,henri-matisse_the-french-window-at-nice-1919,contentment,She found a cozy nook and now she can read her book.,6
Abstract_Expressionism,sam-francis_untitled-1-1987,fear,The body is trying to function in a dysfunctional state,6
Art_Nouveau_Modern,koloman-moser_stage-design-for-the-lake-of-julius-bittner-1,contentment,"the near-symmetry of this is soothing, especially since the subjects look like monks",5
Baroque,isaac-van-ostade_traveller-at-a-cottage-door,amusement,The owner is having some visitors top by for a chat on a good day,6
Symbolism,mikalojus-ciurlionis_creation-of-the-world-xiii-1906,contentment,"Beautiful serene colors of light blue, purple, green, brown and pink give a calming feeling as the sun with just enough light coming through is setting over tranquil waters and allowing us to feel contentment.",6
Art_Nouveau_Modern,mstislav-dobuzhinsky_the-provinces-in-the-1830s(1),anger,The black and white pattern draws the eyes uncomfortable downwards.,5
Cubism,vicente-manansala_man-girl-and-cock-1953,contentment,The use of so many simple shapes is pretty impressive.,5
Impressionism,childe-hassam_across-the-avenue-in-sunlight-june,excitement,The American flag brings about a lot of honor to serve this country in any era.,5
Expressionism,henri-matisse_interior-with-a-violin,contentment,the color and line style looks like animation in a movie I want to watch,5
Cubism,theo-van-doesburg_landscape-1916,something else,It feels very simplistic and kind of boring with the circle,6
Baroque,guido-reni_sibylle-1636,something else,THE PAINTING LEAVES ME WONDERING IF IT DISPLAYS SADNESS OR JOY,5
Art_Nouveau_Modern,leon-bakst_costume-design-for-scheherazade-1910,awe,"I'm not entirely sure what's happening here, but it looks like either a dance or some type of ritual.",6
Expressionism,george-bouzianis_still-life-with-fruit-and-chair-1931,excitement,"This looks like a rough draft of a real painting, I would not consider this fine art.",5
Romanticism,gustave-dore_don-quixote-16,fear,the people look ghastly surrounded by plague rats,5
Realism,giovanni-boldini_portrait-of-the-marchesa-luisa-casati-with-a-greyhound-1908,contentment,The splashes of purple are peaceful-looking and I like the way the woman is interacting with the dog.,5
Realism,henri-fantin-latour_the-embroiderers-1895,contentment,the people look they are focused and intent on somethingn,6
Baroque,mestre-ataã­de_a-ltima-ceia-1828,disgust,I dislike paintings related to religion.,6
Impressionism,childe-hassam_adams-and-st-helen-s-early-morning,something else,"This picture seems very empty, and cold, somewhere I would never want to visit.",6
Abstract_Expressionism,sam-francis_untitled-sf-259-1980,excitement,The splatter paint interacts in a way that gives the picture energy,6
Rococo,william-hogarth_the-march-of-the-guards-to-finchley-1750,fear,"I see fear in eyes with pale British flag unfurled this painting makes a statement of how the settlers must have felt to be under British rule, alas the Redcoats are coming!",6
Art_Nouveau_Modern,nicholas-roerich_costume-design-of-a-shipbuilder-for-peer-gynt-1912,anger,The old man in the picture looks cranky so I feel to some extent that anger is projected onto me. Aside from that there's not much to make of the painting.,6
Art_Nouveau_Modern,ivan-bilibin_sketch-for-the-opera-the-golden-cockerel-by-nikolai-rimsky-korsakov-1909,contentment,The view of the skyline in the background is grand and filling me with contentment.,6
Romanticism,gustave-dore_the-emir-s-head-shown-in-the-seraglio,sadness,"the figures are dark and seem scared while a domineering figure illuminated in the background looks to be taunting them, I feel bad for those on the ground and the shadows are almost claustrophobic.",5
Baroque,paul-bril_landscape-with-boats-on-a-river-1612,contentment,The water scene doesnt fit in with the bird above,6
Impressionism,childe-hassam_evening-champs-elysees-aka-pres-du-louvre,sadness,These women look sad and the colors are dreary,5
Romanticism,henryk-siemiradzki_the-death-of-alexander-nevsky,sadness,"It looks like these people are gathered around a sick dying friend, which is quite moving.",6
Abstract_Expressionism,sam-francis_untitled-sf76-176-1976,fear,Fear that something bad happened with what appears to be blood splatters and pools.,6
Romanticism,gustave-moreau_portrait-of-degas-in-florence-1858,sadness,"The grayscale pencil markings lend to a sad looking fellow. He is looking out of a window, as if reflecting on an event rather than looking at something in particular.",5
Symbolism,mikalojus-ciurlionis_lightning-1909,excitement,The green lighting and the lightning strikes being reflected off of the water is stunning and exciting to look at.,6
Art_Nouveau_Modern,mikhail-vrubel_piet-1887,fear,In fear of what is about to happen to the person lying down.  Are they dying and that is the angel of death?,11
Impressionism,childe-hassam_in-the-park,something else,it looks like nature has swallowed those people whole,5
Art_Nouveau_Modern,michel-simonidy_forest-edge-in-france,contentment,The painting has a deep forest and the sky showing a sign of windy weather,5
Abstract_Expressionism,richard-tuttle_20-pearls-8-2003,excitement,The colors are very vibrant. I like the pinks and orange colors.,10
Baroque,le-nain-brothers_rest-of-the-holy-family,contentment,The mother looks to be at peace as she feeds her child.,6
Art_Nouveau_Modern,jacek-malczewski_self-portrait-in-white-dress,contentment,"I like the fashion sense, and the motion of this image. I love that his shirt is dirty.",6
Realism,fyodor-vasilyev_before-the-rain-1871,contentment,"Such peacefulness translates from this lovely painting, the turquoise colors are calming and enjoyable to look at",6
Baroque,jan-steen_harpsichord-lesson-1660,contentment,the attitudes of the subjects are sympathetic as the teacher is instructing the student how to play,6
Expressionism,jackson-pollock_untitled(4),something else,Very bold and expressionistic figures and symbols are used for what looks like achaotic and confusing night scene. It's very mysterious.,6
Expressionism,henri-matisse_dance-ii-1910,fear,The orange bodies of these people look like they have been baked in the sun.,11
Romanticism,gustave-dore_the-angel-raphael-and-the-family-of-tobit,something else,I really do not like the lines or squares that make up this image it takes away from the real picture and make it hard to focus,6
Naive_Art_Primitivism,pablo-picasso_man-with-lamb-man-eating-watermelon-and-flutist-1967,disgust,The abstraction is really weird. The nude man eating an animal is gross,5
Art_Nouveau_Modern,mikhail-vrubel_piet-1887,contentment,This looks as if a faithful woman is praying over the person in the bed. This gives me peace.,11
Romanticism,gustave-dore_cyrus-restoring-the-vessels-of-the-temple-1866,sadness,"The people look sad, as if they are still in mourning about something - there is no joy present, and the lack of colour only serve to continue to suck any existing emotion from the picture.",6
Abstract_Expressionism,richard-tuttle_20-pearls-9-2003,something else,A glove that is filled with glitter remind me of a magic show.,11
Realism,gustave-courbet_the-woman-in-a-podoscaphe-1865,awe,"She really looks to be in movement, and having quite a lot of fun",6
Abstract_Expressionism,sam-francis_untitled-1990-2,something else,This painting is a splash of colors mainly on a yellow background.,6
Baroque,juan-de-valdes-leal_head-of-a-woman,something else,"I feel a little off-put by this as combined with the darkness of the background, the angle of her neck is positioned strangely giving me an 'uncanny valley' vibe. It looks realistic in a way that does not feel entirely natural to me.",6
Expressionism,ernst-ludwig-kirchner_tree-bathers-sitting-on-rocks,amusement,"artist captures the subjects hunting for food, the pink/red pain used closely resembles flesh",5
Romanticism,henry-raeburn_portrait-of-colonel-alasdair-mcdonnell-of-glengarry,contentment,"The man looks like a protector of people and has a riffle, therefore I'm feeling contentment.",6
Realism,gustave-courbet_seascape-the-poplar,contentment,The water crashing up against the tree is interesting. Almost looks like it could knock the tree down.,6
Art_Nouveau_Modern,koloman-moser_draft-drawings-for-the-breakfast-room-of-the-apartment-eisler-terramare-high-chair-1903,awe,The design of the chairs having high backs remind me of thrones. I think of royalty when i see this picture,6
Expressionism,jacoba-van-heemskerck_bild-no-131-1921,contentment,"The thick black lines between the colorful blue, red, yellow and green shapes remind me of stained glass which makes me feel content",5
Cubism,rene-magritte_bathers-1921(1),something else,Three nude woman who are engaging in a dance for their audience.,6
Romanticism,henry-raeburn_portrait-of-sir-john-and-lady-clerk-of-penicuik,contentment,I loved how bold the painting was because of all the dark shading.,5
Romanticism,gustave-dore_jesus,sadness,"There is pain and suffering here, perhaps a pleading for help also.",6
Cubism,vajda-lajos_spotty-house-1936,something else,looks like a painting of a portrait inside of another photo,5
Impressionism,childe-hassam_naples,contentment,I think the view over the hills and body of water is relaxing and pleasant.,5
Realism,henri-fantin-latour_portrait-of-young-woman-1873,something else,"The woman is well drawn but has a hard to read expression on her face, and there is nothing else in the painting to evoke any sort of feeling or emotion.",5
Symbolism,nicholas-roerich_hystaspes-shahnameh-1938,sadness,The dark rider looks tired in the desert.,6
Realism,gustave-courbet_the-trout-1873,fear,The fish face of surprise and fear of being caught on the line. The dark colors highlight the fear  and surprise.,6
Realism,fernand-khnopff_listening-to-schumann-1883,sadness,Because the lady looks like she is sitting in the chair crying.,5
Impressionism,childe-hassam_bleakk-house-broadstairs,contentment,The woman seems content reading by the river,5
Realism,felix-vallotton_my-portrait-1891,sadness,The expression on this man’s face is very sad,6
Expressionism,george-luks_house-on-the-point,awe,I like the vibrant shares of blue and purple of the bricks.,6
Symbolism,nicholas-roerich_kangchenjunga-1,contentment,The violet mountains and hills releases a lot of depth and strong tones.,5
Baroque,jacob-jordaens_the-bean-king-1,contentment,I love that you can see the happiness in each person's face.,6
Romanticism,gustave-dore_two-owls,contentment,The two owls are very cool looking and majestic,5
Rococo,william-hogarth_the-western-family,fear,"The yellowing coloring along with the child in the background, makes the picture depressing.",5
Baroque,mario-nuzzi_fruit-garland-encircling-a-relief,something else,Bountiful. There is so much fruit here. This makes me feel abundant.,6
Baroque,jan-steen_baker-oostwaert-and-his-wife,excitement,This painting makes me happy and hungry!  I can almost taste the baked goods!,6
Post_Impressionism,lovis-corinth_still-life-with-chrysanthemums-and-amaryllis-1922,excitement,Flowers remind me of good times,6
Abstract_Expressionism,richard-pousette-dart_opaque-harmony-1943,awe,A jumble of all different colors and shapes that all seemingly fit together.,5
Abstract_Expressionism,robert-goodnough_k-b-2-1992,fear,It makes me think of an angry crowd,6
Naive_Art_Primitivism,pablo-picasso_nude-gathering-flowers-1958,awe,The long extensions look like they are balancing a baby on the top of their feet.,6
Baroque,jean-baptiste-simeon-chardin_still-life-with-glass-flask-and-fruit,something else,"It's very technically well done, especially the vase, but i dont really understand still lifes",5
Post_Impressionism,irma-stern_the-bride-1943,awe,"You can get lost in her eyes, she looks sad",6
Expressionism,istvan-farkas_seaside-landscape-1935,awe,The bright shades of blue and yellow are a contrast to the white buildings.,5
Abstract_Expressionism,vasile-dobrian_during-life-man-exhibits-his-lucidity-during-death-oblivion,disgust,"I'm not sure what this represents. It has geometric properties, but there's no clean meaning.",5
Post_Impressionism,maurice-utrillo_church-and-street-in-montmagny,contentment,I enjoy the way the road splits into the city,5
Expressionism,georges-braque_the-studio-i-1949,contentment,I like the scene because the vase are simple.,11
Rococo,william-hogarth_southwark-fair-1733-1,awe,A colony of the new world that is celebrating a battle that has just been won.,5
Abstract_Expressionism,robert-goodnough_untitled-1950,contentment,People are complicated when put in precarious situations,6
Art_Nouveau_Modern,mikhail-vrubel_artist-s-son-1901,contentment,I like the blue colors in the background but the baby face in the center is creepy.,6
Post_Impressionism,maurice-prendergast_low-tide,excitement,Excited because these kids look like they are having a good time at a beach or sandbar,6
Cubism,stuart-davis_colonial-cubism-1954,excitement,The vivid primary colors is exciting. I like the fun abstraction.,6
Romanticism,gustave-dore_crusade-against-the-moors-of-granada,something else,It just all feels so lifeless in its state,6
Baroque,jacob-jordaens_the-father-of-the-psyche-consultants-of-oracle-in-the-temple-of-apollo-1652,amusement,I feel amusement because there is so much going on in this painting that I can't even really focus on one subject of it. I feel as though I could look at this for an hour and still not have seen everything.,6
Romanticism,george-frederick-watts_little-red-riding-hood,contentment,Has a fun little red riding hood feel to it,6
Expressionism,helene-schjerfbeck_stilhet-1907,contentment,The woman's face looks serene and her white dress against the black background is a nice contrast.,5
Post_Impressionism,le-pho_fruit-picking,sadness,Even though the woman is surrounded by a beautiful background she still looks unhappy.,6
Baroque,joseph-wright_self-portrait-at-the-age-of-about-twenty,contentment,I like the royal look and beautiful fabric. The texture in the drawing is nice .,11
Expressionism,franz-marc_little-blue-horse-1912,sadness,"The horse looks stiff and decrepit, possibly deceased.",6
Baroque,isaac-van-ostade_the-halt-at-the-inn,awe,the extreme detail of the people and landscape is amazing,5
Symbolism,mikhail-nesterov_michael-s-vocation-to-the-realm-1885,fear,"Although the person in the white on the platform seems to be in power, he's receiving too much attention",6
Romanticism,gustave-courbet_the-vagabond-1845,sadness,The grayish colors and the figure's ragged clothes and sickly pose.,5
Symbolism,mikhail-nesterov_christ-blesses-bartholomew,awe,Absolutely beautiful and reassuring to see the sacred hand of Jesus touching this blessed little boy,6
Expressionism,georges-braque_the-birds-1953,excitement,The blue lines around the birds give the impression of movement,6
Symbolism,mstislav-dobuzhinsky_courtyard-in-palanga-1932,fear,The town looks completely empty it almost looks like a ghost town.,5
Realism,eugene-boudin_le-havre-the-town-hotel-and-the-francois-i-tower-1859,sadness,Does off an industrial pollution idea to it,6
Post_Impressionism,jacques-villon_the-negro-1899,something else,She was waiting for her husband to let her know it was alright to leave.,11
Expressionism,henri-matisse_odalisque-with-a-turkish-chair-1928,amusement,the girl in the painting looks as if she has a quirky attitude.,5
Realism,grigoriy-myasoyedov_zemstvo-is-having-their-lunch-study,amusement,the man on the right is looking at the man on his left from the corner of his eyes.,6
Art_Nouveau_Modern,konstantin-korovin_servant-1928,sadness,There is nothing appealing about this image. I do not like the color palate.,6
Symbolism,nicholas-roerich_lake-karelian-landscape-1917,contentment,The land and sea meet in perfect harmony.,6
Post_Impressionism,martiros-saryan_balcony-on-the-estate-of-marshal-ivan-bagramian-1947,fear,There was a time when one could live with out curtains on the windows but no more; i want them covered especially at night.,6
Art_Nouveau_Modern,koloman-moser_draft-for-the-space-of-the-austrian-state-printing-house-on-show-in-london-1906,awe,I feel a little impressed (awe) just that I've always liked the style of contrasting something with less detail with something that has a lot of detail in an abstract format.,6
Naive_Art_Primitivism,radi-nedelchev_winter-night-1971,contentment,This scene has warm yellow lights to contrast the cold whiteness of the snow,5
Romanticism,george-stubbs_the-moose,awe,I love how the artist captured the shedding of the antlers of this animal.,5
Baroque,jacob-jordaens_adoration-of-the-magi,excitement,"It is a celebration of a birth, everybody looks happy. The mother and baby are contrasted brightly compared to everything else.",6
Impressionism,childe-hassam_piazza-di-spagna-rome,contentment,The scene looks like an ordinary day in town. Sedate and soothing. I love the blueness of the sky. The color really does depict a clear blue day.,5
Post_Impressionism,henri-matisse_standing-nude,amusement,This woman looks like she has a major attitude and something has made her angry.,6
Realism,giovanni-boldini_portrait-of-cecilia-de-madrazo,contentment,The figure looks serious and her dark clothing appear to match her mood.,5
