art_style,painting,emotion,utterance,repetition,utterance_spelled,tokens,tokens_len,split,tokens_encoded,emotion_label
Impressionism,amadeo-de-souza-cardoso_at-bistrot,something else,"Interest-Even though the characters have blank faces , I feel like they are each sharing a story at the dinner table",5,interest even though the characters have blank faces i feel like they are each sharing a story at the dinner table,"['interest', 'even', 'though', 'the', 'characters', 'have', 'blank', 'faces', 'i', 'feel', 'like', 'they', 'are', 'each', 'sharing', 'a', 'story', 'at', 'the', 'dinner', 'table']",21,train,"[1, 731, 168, 164, 4, 597, 70, 863, 220, 13, 25, 11, 43, 17, 238, 1883, 6, 441, 29, 4, 1320, 264, 2, 0, 0]",8
Impressionism,amadeo-de-souza-cardoso_village-market-in-cardoso-1905,something else,confused.  I like the concept but the people kind of blend together and it is difficult to tell who is who in the pic.  Areas seem to be just smeared together,5,confused i like the concept but the people kind of blend together and it is difficult to tell who is who in the pic areas seem to be just smeared together,"['confused', 'i', 'like', 'the', 'concept', 'but', 'the', 'people', 'kind', 'of', 'blend', 'together', 'and', 'it', 'is', 'difficult', 'to', 'tell', 'who', 'is', 'who', 'in', 'the', 'pic', 'areas', 'seem', 'to', 'be', 'just', 'smeared', 'together']",31,train,"[1, 271, 13, 11, 4, 3065, 33, 4, 40, 202, 7, 526, 127, 5, 14, 8, 899, 9, 290, 165, 8, 165, 10, 4, 2]",8
Realism,anton-azbe_the-village-choir-1900,sadness,This makes me feel sad. I think the people are having a sad meeting.,5,this makes me feel sad i think the people are having a sad meeting,"['this', 'makes', 'me', 'feel', 'sad', 'i', 'think', 'the', 'people', 'are', 'having', 'a', 'sad', 'meeting']",14,train,"[1, 12, 24, 16, 25, 68, 13, 89, 4, 40, 17, 254, 6, 68, 1295, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
Realism,arkhip-kuindzhi_the-head-of-a-ukrainian-peasant-in-a-straw-hat,awe,The hardworking man always makes one feel the strength.,6,the hardworking man always makes one feel the strength,"['the', 'hardworking', 'man', 'always', 'makes', 'one', 'feel', 'the', 'strength']",9,train,"[1, 4, 6201, 30, 357, 24, 81, 25, 4, 1345, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Fauvism,mary-fedden_still-life-merindol,amusement,The different fruits actually make me think of people in a few of them. I can see a face in the one with yellow and the one with red and this makes me laugh a bit. It feels very childlike.,5,the different fruits actually make me think of people in a few of them i can see a face in the one with yellow and the one with red and this makes me laugh a bit it feels very childlike,"['the', 'different', 'fruits', 'actually', 'make', 'me', 'think', 'of', 'people', 'in', 'a', 'few', 'of', 'them', 'i', 'can', 'see', 'a', 'face', 'in', 'the', 'one', 'with', 'yellow', 'and', 'the', 'one', 'with', 'red', 'and', 'this', 'makes', 'me', 'laugh', 'a', 'bit', 'it', 'feels', 'very', 'childlike']",40,train,"[1, 4, 178, 787, 1042, 41, 16, 89, 7, 40, 10, 6, 654, 7, 159, 13, 101, 85, 6, 42, 10, 4, 81, 19, 2]",0
Rococo,dmitry-levitzky_portrait-of-v-i-mitrofanov-and-m-a-mitrofanova,contentment,"Even though the couple has a serious expression, they both look like they are about to smile and seem happy together.",5,even though the couple has a serious expression they both look like they are about to smile and seem happy together,"['even', 'though', 'the', 'couple', 'has', 'a', 'serious', 'expression', 'they', 'both', 'look', 'like', 'they', 'are', 'about', 'to', 'smile', 'and', 'seem', 'happy', 'together']",21,train,"[1, 168, 164, 4, 434, 39, 6, 492, 102, 43, 403, 20, 11, 43, 17, 72, 9, 372, 5, 78, 87, 127, 2, 0, 0]",3
Romanticism,constantin-daniel-rosenthal_portrait-of-a-woman,contentment,what better to do than read while it's cold outside.,5,what better to do than read while it's cold outside,"['what', 'better', 'to', 'do', 'than', 'read', 'while', ""it's"", 'cold', 'outside']",10,train,"[1, 50, 682, 9, 156, 327, 878, 137, 56, 333, 388, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Symbolism,franz-stuck_springtime-of-love-1917,disgust,The woman is lying in an unnatural way - it's just an excuse to show nudity,5,the woman is lying in an unnatural way it's just an excuse to show nudity,"['the', 'woman', 'is', 'lying', 'in', 'an', 'unnatural', 'way', ""it's"", 'just', 'an', 'excuse', 'to', 'show', 'nudity']",15,train,"[1, 4, 31, 8, 874, 10, 37, 1205, 67, 56, 60, 37, 3, 9, 380, 1193, 2, 0, 0, 0, 0, 0, 0, 0, 0]",4
Art_Nouveau_Modern,aubrey-beardsley_the-scarlet-pastorale,amusement,the harlequin clown in the middle has a hilarious body posture. This looks like a burlesque night that got into the tequila.,5,the harlequin clown in the middle has a hilarious body posture this looks like a burlesque night that got into the tequila,"['the', 'harlequin', 'clown', 'in', 'the', 'middle', 'has', 'a', 'hilarious', 'body', 'posture', 'this', 'looks', 'like', 'a', 'burlesque', 'night', 'that', 'got', 'into', 'the', 'tequila']",22,train,"[1, 4, 4848, 886, 10, 4, 318, 39, 6, 1158, 161, 564, 12, 15, 11, 6, 5658, 439, 26, 760, 129, 4, 3, 2, 0]",0
Romanticism,constantin-daniel-rosenthal_portrait-of-a-woman,something else,It makes me feel as in the person who sat for this portrait felt incovinced for having to be sitting there.,5,it makes me feel as in the person who sat for this portrait felt incovinced for having to be sitting there,"['it', 'makes', 'me', 'feel', 'as', 'in', 'the', 'person', 'who', 'sat', 'for', 'this', 'portrait', 'felt', 'incovinced', 'for', 'having', 'to', 'be', 'sitting', 'there']",21,train,"[1, 14, 24, 16, 25, 32, 10, 4, 98, 165, 2919, 34, 12, 190, 1088, 3, 34, 254, 9, 28, 214, 48, 2, 0, 0]",8
Rococo,francisco-bayeu-y-subias_portrait-of-manuel-godoy-1790,contentment,I just don't feel anything looking at this painting. It just seems like a portrait of someone.,5,i just don't feel anything looking at this painting it just seems like a portrait of someone,"['i', 'just', ""don't"", 'feel', 'anything', 'looking', 'at', 'this', 'painting', 'it', 'just', 'seems', 'like', 'a', 'portrait', 'of', 'someone']",17,train,"[1, 13, 60, 136, 25, 414, 59, 29, 12, 22, 14, 60, 44, 11, 6, 190, 7, 171, 2, 0, 0, 0, 0, 0, 0]",3
Abstract_Expressionism,elaine-de-kooning_spring-1965,excitement,this painting has a lot of movement which is exciting,6,this painting has a lot of movement which is exciting,"['this', 'painting', 'has', 'a', 'lot', 'of', 'movement', 'which', 'is', 'exciting']",10,train,"[1, 12, 22, 39, 6, 167, 7, 409, 107, 8, 236, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
Early_Renaissance,domenico-ghirlandaio_st-stephen,sadness,The man appears to be fearful and is bleeding from his head.,5,the man appears to be fearful and is bleeding from his head,"['the', 'man', 'appears', 'to', 'be', 'fearful', 'and', 'is', 'bleeding', 'from', 'his', 'head']",12,train,"[1, 4, 30, 108, 9, 28, 640, 5, 8, 1824, 58, 36, 181, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
Pop_Art,hiro-yamagata_a-path-through-the-forest,amusement,the bubbles make me feel happy and amused,5,the bubbles make me feel happy and amused,"['the', 'bubbles', 'make', 'me', 'feel', 'happy', 'and', 'amused']",8,train,"[1, 4, 2741, 41, 16, 25, 87, 5, 459, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
High_Renaissance,lorenzo-lotto_the-nativity-1527,contentment,I'm confused by why the kneeling man is staring at the woman instead of the Christ child.,5,i'm confused by why the kneeling man is staring at the woman instead of the christ child,"[""i'm"", 'confused', 'by', 'why', 'the', 'kneeling', 'man', 'is', 'staring', 'at', 'the', 'woman', 'instead', 'of', 'the', 'christ', 'child']",17,train,"[1, 162, 271, 62, 279, 4, 1627, 30, 8, 595, 29, 4, 31, 1056, 7, 4, 809, 140, 2, 0, 0, 0, 0, 0, 0]",3
Baroque,anthony-van-dyck_virgin-with-donors,sadness,the children in the clouds represent those lost at a very young age.,5,the children in the clouds represent those lost at a very young age,"['the', 'children', 'in', 'the', 'clouds', 'represent', 'those', 'lost', 'at', 'a', 'very', 'young', 'age']",13,train,"[1, 4, 369, 10, 4, 218, 1165, 391, 438, 29, 6, 23, 194, 1016, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
Pop_Art,gerard-fromanger_vert-v-ron-se,excitement,I am intrigued by the bold colors and the perspective.,6,i am intrigued by the bold colors and the perspective,"['i', 'am', 'intrigued', 'by', 'the', 'bold', 'colors', 'and', 'the', 'perspective']",10,train,"[1, 13, 95, 661, 62, 4, 364, 21, 5, 4, 714, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
Realism,anton-azbe_the-village-choir-1900,excitement,"This seems to be a very dramatic painting, with everyone focused on the pianist.",5,this seems to be a very dramatic painting with everyone focused on the pianist,"['this', 'seems', 'to', 'be', 'a', 'very', 'dramatic', 'painting', 'with', 'everyone', 'focused', 'on', 'the', 'pianist']",14,train,"[1, 12, 44, 9, 28, 6, 23, 1410, 22, 19, 304, 1542, 18, 4, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
Romanticism,constantin-daniel-rosenthal_portrait-of-a-woman,amusement,What she is reading seems to empower her to the point of having contempt for an observer. She has the answer to a question most others can't even ask.,5,what she is reading seems to empower her to the point of having contempt for an observer she has the answer to a question most others can't even ask,"['what', 'she', 'is', 'reading', 'seems', 'to', 'empower', 'her', 'to', 'the', 'point', 'of', 'having', 'contempt', 'for', 'an', 'observer', 'she', 'has', 'the', 'answer', 'to', 'a', 'question', 'most', 'others', ""can't"", 'even', 'ask']",29,train,"[1, 50, 38, 8, 583, 44, 9, 5984, 27, 9, 4, 704, 7, 254, 5791, 34, 37, 4185, 38, 39, 4, 5509, 9, 6, 2]",0
Fauvism,mary-fedden_lunch-in-the-port-1964,fear,The colors are disturbing and the plants seem to be eating the person.,5,the colors are disturbing and the plants seem to be eating the person,"['the', 'colors', 'are', 'disturbing', 'and', 'the', 'plants', 'seem', 'to', 'be', 'eating', 'the', 'person']",13,train,"[1, 4, 21, 17, 599, 5, 4, 678, 78, 9, 28, 911, 4, 98, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
Expressionism,arthur-segal_vom-strande-page-1-1913,contentment,It makes me feel peace and quiet like you would ona quiet day at the beach.,5,it makes me feel peace and quiet like you would ona quiet day at the beach,"['it', 'makes', 'me', 'feel', 'peace', 'and', 'quiet', 'like', 'you', 'would', 'ona', 'quiet', 'day', 'at', 'the', 'beach']",16,train,"[1, 14, 24, 16, 25, 274, 5, 415, 11, 84, 128, 3, 415, 94, 29, 4, 373, 2, 0, 0, 0, 0, 0, 0, 0]",3
Naive_Art_Primitivism,fernando-botero_saint-rose-of-lima,amusement,The shape of the figure looks like a Russian nesting doll.,5,the shape of the figure looks like a russian nesting doll,"['the', 'shape', 'of', 'the', 'figure', 'looks', 'like', 'a', 'russian', 'nesting', 'doll']",11,train,"[1, 4, 390, 7, 4, 145, 15, 11, 6, 3249, 6537, 1151, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Abstract_Expressionism,forrest-bess_symbol-of-flowers-1951,contentment,It reminds me to always smell the flowers and enjoy the simplicity of life.,5,it reminds me to always smell the flowers and enjoy the simplicity of life,"['it', 'reminds', 'me', 'to', 'always', 'smell', 'the', 'flowers', 'and', 'enjoy', 'the', 'simplicity', 'of', 'life']",14,train,"[1, 14, 82, 16, 9, 357, 1266, 4, 91, 5, 338, 4, 594, 7, 111, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Abstract_Expressionism,esteban-vicente_untitled-1977,sadness,The lines seem sad and lonely,6,the lines seem sad and lonely,"['the', 'lines', 'seem', 'sad', 'and', 'lonely']",6,train,"[1, 4, 122, 78, 68, 5, 375, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
Realism,arkhip-kuindzhi_forest-1,fear,The painting reminds me of my childhood fears which is the dark and the unknown. There's no telling where the path leads in the photo.,5,the painting reminds me of my childhood fears which is the dark and the unknown there's no telling where the path leads in the photo,"['the', 'painting', 'reminds', 'me', 'of', 'my', 'childhood', 'fears', 'which', 'is', 'the', 'dark', 'and', 'the', 'unknown', ""there's"", 'no', 'telling', 'where', 'the', 'path', 'leads', 'in', 'the', 'photo']",25,train,"[1, 4, 22, 82, 16, 7, 105, 1080, 3, 107, 8, 4, 47, 5, 4, 1438, 356, 134, 1269, 248, 4, 635, 1160, 10, 2]",6
Realism,antã³nio-de-carvalho-da-silva-porto_volta-do-mercado-1886,contentment,The people look like they are out for a normal day of work.,50,the people look like they are out for a normal day of work,"['the', 'people', 'look', 'like', 'they', 'are', 'out', 'for', 'a', 'normal', 'day', 'of', 'work']",13,train,"[1, 4, 40, 20, 11, 43, 17, 49, 34, 6, 957, 94, 7, 174, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Expressionism,georges-braque_the-packing-case-1947,something else,confused cause they tried going for 3D but it didn't really work out.  It kinds of morphs together in a weird way,11,confused cause they tried going for 3d but it didn't really work out it kinds of morphs together in a weird way,"['confused', 'cause', 'they', 'tried', 'going', 'for', '3d', 'but', 'it', ""didn't"", 'really', 'work', 'out', 'it', 'kinds', 'of', 'morphs', 'together', 'in', 'a', 'weird', 'way']",22,train,"[1, 271, 1214, 43, 2302, 115, 34, 2494, 33, 14, 1358, 74, 174, 49, 14, 2412, 7, 3, 127, 10, 6, 331, 67, 2, 0]",8
Fauvism,marcel-duchamp_the-bush,sadness,The expressions on the women make me feel sad because they look sad and unhappy.,5,the expressions on the women make me feel sad because they look sad and unhappy,"['the', 'expressions', 'on', 'the', 'women', 'make', 'me', 'feel', 'sad', 'because', 'they', 'look', 'sad', 'and', 'unhappy']",15,train,"[1, 4, 398, 18, 4, 147, 41, 16, 25, 68, 57, 43, 20, 68, 5, 923, 2, 0, 0, 0, 0, 0, 0, 0, 0]",7
Expressionism,arthur-segal_eliyahu,excitement,makes me feel like a winner,6,makes me feel like a winner,"['makes', 'me', 'feel', 'like', 'a', 'winner']",6,train,"[1, 24, 16, 25, 11, 6, 5412, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
Mannerism_Late_Renaissance,jacopo-pontormo_seated-nude-with-raised-arm,something else,It just seems like you should be comfortable with the human body.,6,it just seems like you should be comfortable with the human body,"['it', 'just', 'seems', 'like', 'you', 'should', 'be', 'comfortable', 'with', 'the', 'human', 'body']",12,train,"[1, 14, 60, 44, 11, 84, 550, 28, 482, 19, 4, 404, 161, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
Mannerism_Late_Renaissance,jacopo-pontormo_study-of-a-boy-turning-his-head,something else,"Progression and reflection of life, as seen in the image of a child and thie older version of themself.",5,progression and reflection of life as seen in the image of a child and thie older version of themself,"['progression', 'and', 'reflection', 'of', 'life', 'as', 'seen', 'in', 'the', 'image', 'of', 'a', 'child', 'and', 'thie', 'older', 'version', 'of', 'themself']",19,train,"[1, 6731, 5, 585, 7, 111, 32, 426, 10, 4, 80, 7, 6, 140, 5, 3, 650, 1907, 7, 5318, 2, 0, 0, 0, 0]",8
Art_Nouveau_Modern,aubrey-beardsley_the-fruit-bearers,fear,"the feet of the front man resemble the hooves of an animal, such things scare me.",5,the feet of the front man resemble the hooves of an animal such things scare me,"['the', 'feet', 'of', 'the', 'front', 'man', 'resemble', 'the', 'hooves', 'of', 'an', 'animal', 'such', 'things', 'scare', 'me']",16,train,"[1, 4, 868, 7, 4, 367, 30, 1233, 4, 4084, 7, 37, 534, 237, 348, 2653, 16, 2, 0, 0, 0, 0, 0, 0, 0]",6
Rococo,dmitry-levitzky_portrait-of-v-i-mitrofanov-and-m-a-mitrofanova,contentment,This looks like a painting of a married couple and the smile on the womans face and the way they are standing with his arm around her i feel like even if they have been married for 20 years they are still very much jn love,5,this looks like a painting of a married couple and the smile on the womans face and the way they are standing with his arm around her i feel like even if they have been married for 20 years they are still very much jn love,"['this', 'looks', 'like', 'a', 'painting', 'of', 'a', 'married', 'couple', 'and', 'the', 'smile', 'on', 'the', 'womans', 'face', 'and', 'the', 'way', 'they', 'are', 'standing', 'with', 'his', 'arm', 'around', 'her', 'i', 'feel', 'like', 'even', 'if', 'they', 'have', 'been', 'married', 'for', '20', 'years', 'they', 'are', 'still', 'very', 'much', 'jn', 'love']",46,train,"[1, 12, 15, 11, 6, 22, 7, 6, 1862, 434, 5, 4, 372, 18, 4, 737, 42, 5, 4, 67, 43, 17, 314, 19, 2]",3
Fauvism,louis-valtat_by-the-sea-1904,contentment,I can happily stroll enjoying the view from this area with its breathtaking view.,5,i can happily stroll enjoying the view from this area with its breathtaking view,"['i', 'can', 'happily', 'stroll', 'enjoying', 'the', 'view', 'from', 'this', 'area', 'with', 'its', 'breathtaking', 'view']",14,train,"[1, 13, 101, 1769, 1585, 250, 4, 258, 58, 12, 418, 19, 114, 1678, 258, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Impressionism,amadeo-de-souza-cardoso_at-bistrot,amusement,"The men's eyes look funny, it makes them look like cartoon characters.",5,the men's eyes look funny it makes them look like cartoon characters,"['the', ""men's"", 'eyes', 'look', 'funny', 'it', 'makes', 'them', 'look', 'like', 'cartoon', 'characters']",12,train,"[1, 4, 2601, 93, 20, 206, 14, 24, 159, 20, 11, 1046, 597, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Mannerism_Late_Renaissance,jacopo-pontormo_study-of-a-boy-turning-his-head,sadness,The child looks longing for their mother,5,the child looks longing for their mother,"['the', 'child', 'looks', 'longing', 'for', 'their', 'mother']",7,train,"[1, 4, 140, 15, 1473, 34, 88, 297, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
Post_Impressionism,david-burliuk_hills-near-village,contentment,Love fall love nature.  This pic makes me happy especially since it is winter here by me I LOVE seeing the green grass in this pic,6,love fall love nature this pic makes me happy especially since it is winter here by me i love seeing the green grass in this pic,"['love', 'fall', 'love', 'nature', 'this', 'pic', 'makes', 'me', 'happy', 'especially', 'since', 'it', 'is', 'winter', 'here', 'by', 'me', 'i', 'love', 'seeing', 'the', 'green', 'grass', 'in', 'this', 'pic']",26,train,"[1, 61, 428, 61, 175, 12, 1479, 24, 16, 87, 366, 209, 14, 8, 533, 143, 62, 16, 13, 61, 278, 4, 100, 346, 2]",3
Rococo,dmitry-levitzky_portrait-of-johann-hauffe-1790,amusement,The man has a type of smirk on his face.,5,the man has a type of smirk on his face,"['the', 'man', 'has', 'a', 'type', 'of', 'smirk', 'on', 'his', 'face']",10,train,"[1, 4, 30, 39, 6, 539, 7, 1996, 18, 36, 42, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Abstract_Expressionism,forrest-bess_symbol-of-flowers-1951,sadness,This painting is very drab and gives me a feeling of loneliness.,5,this painting is very drab and gives me a feeling of loneliness,"['this', 'painting', 'is', 'very', 'drab', 'and', 'gives', 'me', 'a', 'feeling', 'of', 'loneliness']",12,train,"[1, 12, 22, 8, 23, 1050, 5, 139, 16, 6, 104, 7, 1556, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
Fauvism,martiros-saryan_mules-laden-with-hay-1910,disgust,The green globs look like giant jellybeans.,6,the green globs look like giant jellybeans,"['the', 'green', 'globs', 'look', 'like', 'giant', 'jellybeans']",7,train,"[1, 4, 100, 6147, 20, 11, 647, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
Impressionism,alfred-sisley_the-seine-at-bougival-1872,contentment,The colors are very warm and make me feel relaxed like its a nice sunny day.,5,the colors are very warm and make me feel relaxed like its a nice sunny day,"['the', 'colors', 'are', 'very', 'warm', 'and', 'make', 'me', 'feel', 'relaxed', 'like', 'its', 'a', 'nice', 'sunny', 'day']",16,train,"[1, 4, 21, 17, 23, 177, 5, 41, 16, 25, 240, 11, 114, 6, 96, 555, 94, 2, 0, 0, 0, 0, 0, 0, 0]",3
Impressionism,alfred-sisley_view-of-montmartre-from-the-cite-des-fleurs-1869,sadness,the way the trees are and colors used just seems so depressing and gray,5,the way the trees are and colors used just seems so depressing and gray,"['the', 'way', 'the', 'trees', 'are', 'and', 'colors', 'used', 'just', 'seems', 'so', 'depressing', 'and', 'gray']",14,train,"[1, 4, 67, 4, 92, 17, 5, 21, 173, 60, 44, 35, 490, 5, 431, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
Mannerism_Late_Renaissance,maerten-van-heemskerck_lamentation-on-the-dead-christ-1566,sadness,The man in the middle looks either sick or like he is dying and everyone around him is sad.,5,the man in the middle looks either sick or like he is dying and everyone around him is sad,"['the', 'man', 'in', 'the', 'middle', 'looks', 'either', 'sick', 'or', 'like', 'he', 'is', 'dying', 'and', 'everyone', 'around', 'him', 'is', 'sad']",19,train,"[1, 4, 30, 10, 4, 318, 15, 560, 908, 51, 11, 45, 8, 621, 5, 304, 138, 148, 8, 68, 2, 0, 0, 0, 0]",7
High_Renaissance,lorenzo-lotto_portrait-of-a-man,fear,The man's facial expression is creepy.,5,the man's facial expression is creepy,"['the', ""man's"", 'facial', 'expression', 'is', 'creepy']",6,train,"[1, 4, 146, 211, 102, 8, 276, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
Post_Impressionism,david-burliuk_ocean-and-flowers,contentment,The flowers are alive but somehow withered but still alive,5,the flowers are alive but somehow withered but still alive,"['the', 'flowers', 'are', 'alive', 'but', 'somehow', 'withered', 'but', 'still', 'alive']",10,train,"[1, 4, 91, 17, 807, 33, 1201, 7312, 33, 191, 807, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Impressionism,anders-zorn_emma-and-mouche-the-dog-1902,amusement,The dog looks thoroughly fed up,6,the dog looks thoroughly fed up,"['the', 'dog', 'looks', 'thoroughly', 'fed', 'up']",6,train,"[1, 4, 303, 15, 5320, 3121, 106, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Symbolism,george-frederick-watts_orpheus-and-eurydice,something else,"I feel arousal, because this looks like they're in the beginnings of sex",5,i feel arousal because this looks like they're in the beginnings of sex,"['i', 'feel', 'arousal', 'because', 'this', 'looks', 'like', ""they're"", 'in', 'the', 'beginnings', 'of', 'sex']",13,train,"[1, 13, 25, 4498, 57, 12, 15, 11, 397, 10, 4, 3866, 7, 1170, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
Ukiyo_e,kitagawa-utamaro_upper-class,contentment,"The women's expressions, as well as their postures, invoke feelings of modesty, which itself creates a sense of calm contentment.",5,the women's expressions as well as their postures invoke feelings of modesty which itself creates a sense of calm contentment,"['the', ""women's"", 'expressions', 'as', 'well', 'as', 'their', 'postures', 'invoke', 'feelings', 'of', 'modesty', 'which', 'itself', 'creates', 'a', 'sense', 'of', 'calm', 'contentment']",20,train,"[1, 4, 1108, 398, 32, 86, 32, 88, 2121, 1774, 601, 7, 4989, 107, 841, 548, 6, 116, 7, 109, 326, 2, 0, 0, 0]",3
Cubism,franz-marc_deer-in-the-forest-1913,amusement,"Love and amusement,  This is abstract piece is amazing and I could look at it for a long time.  It brightens my day with the colors and the animals in it",5,love and amusement this is abstract piece is amazing and i could look at it for a long time it brightens my day with the colors and the animals in it,"['love', 'and', 'amusement', 'this', 'is', 'abstract', 'piece', 'is', 'amazing', 'and', 'i', 'could', 'look', 'at', 'it', 'for', 'a', 'long', 'time', 'it', 'brightens', 'my', 'day', 'with', 'the', 'colors', 'and', 'the', 'animals', 'in', 'it']",31,train,"[1, 61, 5, 944, 12, 8, 282, 133, 8, 265, 5, 13, 180, 20, 29, 14, 34, 6, 217, 125, 14, 3892, 105, 94, 2]",0
Realism,antã³nio-de-carvalho-da-silva-porto_volta-do-mercado-1886,something else,Confusion. Mostly want to know why they have umbrellas on a nice day.,50,confusion mostly want to know why they have umbrellas on a nice day,"['confusion', 'mostly', 'want', 'to', 'know', 'why', 'they', 'have', 'umbrellas', 'on', 'a', 'nice', 'day']",13,train,"[1, 754, 794, 152, 9, 196, 279, 43, 70, 1903, 18, 6, 96, 94, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
Rococo,dmitry-levitzky_portrait-of-v-i-mitrofanov-and-m-a-mitrofanova,contentment,This couple seems to be at peace with each other.,5,this couple seems to be at peace with each other,"['this', 'couple', 'seems', 'to', 'be', 'at', 'peace', 'with', 'each', 'other']",10,train,"[1, 12, 434, 44, 9, 28, 29, 274, 19, 238, 154, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Baroque,antoine-pesne_portrait-of-henriette-von-zerbsten-1726,something else,I feel victorian and brings me back to days as a kid at a fancy restaurant you would see these pictures.,6,i feel victorian and brings me back to days as a kid at a fancy restaurant you would see these pictures,"['i', 'feel', 'victorian', 'and', 'brings', 'me', 'back', 'to', 'days', 'as', 'a', 'kid', 'at', 'a', 'fancy', 'restaurant', 'you', 'would', 'see', 'these', 'pictures']",21,train,"[1, 13, 25, 2154, 5, 358, 16, 244, 9, 709, 32, 6, 771, 29, 6, 721, 2276, 84, 128, 85, 113, 798, 2, 0, 0]",8
Baroque,antoine-pesne_portrait-of-henriette-von-zerbsten-1726,amusement,The way the royalty and rich of the 1700's makes me smile and wonder where they thought of their outfits.,6,the way the royalty and rich of the 1700's makes me smile and wonder where they thought of their outfits,"['the', 'way', 'the', 'royalty', 'and', 'rich', 'of', 'the', ""1700's"", 'makes', 'me', 'smile', 'and', 'wonder', 'where', 'they', 'thought', 'of', 'their', 'outfits']",20,train,"[1, 4, 67, 4, 1575, 5, 487, 7, 4, 5433, 24, 16, 372, 5, 201, 248, 43, 411, 7, 88, 1868, 2, 0, 0, 0]",0
Symbolism,george-frederick-watts_orpheus-and-eurydice,fear,This paintng seems to depict death and the sorrow involved. The color choice is even hopeless seeming.,5,this paintng seems to depict death and the sorrow involved the color choice is even hopeless seeming,"['this', 'paintng', 'seems', 'to', 'depict', 'death', 'and', 'the', 'sorrow', 'involved', 'the', 'color', 'choice', 'is', 'even', 'hopeless', 'seeming']",17,train,"[1, 12, 6611, 44, 9, 898, 320, 5, 4, 2142, 1707, 4, 53, 833, 8, 168, 2577, 1992, 2, 0, 0, 0, 0, 0, 0]",6
Naive_Art_Primitivism,fernando-botero_still-life-with-fruits,amusement,The fruit appears to be disproportionately large.,5,the fruit appears to be disproportionately large,"['the', 'fruit', 'appears', 'to', 'be', 'disproportionately', 'large']",7,train,"[1, 4, 312, 108, 9, 28, 3, 210, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Symbolism,konstantin-vasilyev_volga-1,sadness,The gray tones make it seem like the person is sad.,5,the gray tones make it seem like the person is sad,"['the', 'gray', 'tones', 'make', 'it', 'seem', 'like', 'the', 'person', 'is', 'sad']",11,train,"[1, 4, 431, 285, 41, 14, 78, 11, 4, 98, 8, 68, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
